timestamp,datetime_bj,year,month,day,hour,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_direction_10m,wind_gusts_10m,visibility,is_day,sunshine_duration,shortwave_radiation,et0_fao_evapotranspiration,weather_description
2026-01-11T00:00,2026-01-11 08:00,2026,1,11,0,5.2,45,0.0,0.0,0.0,0,1030.1,1028.5,0,0,0,0,3.8,17,7.9,24140.0,0,0.0,0.0,0.01,晴
2026-01-11T01:00,2026-01-11 09:00,2026,1,11,1,4.5,45,0.0,0.0,0.0,0,1030.4,1028.8,0,0,0,0,3.3,13,6.8,24140.0,0,0.0,0.0,0.01,晴
2026-01-11T02:00,2026-01-11 10:00,2026,1,11,2,3.8,45,0.0,0.0,0.0,0,1031.4,1029.7,0,0,0,0,2.0,45,5.4,24140.0,0,0.0,0.0,0.0,晴
2026-01-11T03:00,2026-01-11 11:00,2026,1,11,3,3.9,41,0.0,0.0,0.0,0,1031.1,1029.4,0,0,0,0,1.4,90,3.2,24140.0,0,0.0,0.0,0.0,晴
2026-01-11T04:00,2026-01-11 12:00,2026,1,11,4,3.6,39,0.0,0.0,0.0,0,1031.2,1029.5,0,0,0,0,1.0,135,2.2,24140.0,0,0.0,0.0,0.0,晴
2026-01-11T05:00,2026-01-11 13:00,2026,1,11,5,3.1,39,0.0,0.0,0.0,0,1030.8,1029.1,0,0,0,0,0.0,270,1.4,24140.0,0,0.0,0.0,0.0,晴
2026-01-11T06:00,2026-01-11 14:00,2026,1,11,6,2.5,41,0.0,0.0,0.0,0,1031.3,1029.6,0,0,0,0,0.8,27,1.4,24140.0,0,0.0,0.0,0.0,晴
2026-01-11T07:00,2026-01-11 15:00,2026,1,11,7,1.9,44,0.0,0.0,0.0,0,1031.3,1029.6,0,0,0,0,1.1,72,1.8,24140.0,1,0.0,0.0,0.0,晴
2026-01-11T08:00,2026-01-11 16:00,2026,1,11,8,2.3,45,0.0,0.0,0.0,0,1031.7,1030.0,0,0,0,0,1.8,307,3.2,24140.0,1,2231.52,68.0,0.01,晴
2026-01-11T09:00,2026-01-11 17:00,2026,1,11,9,3.6,47,0.0,0.0,0.0,0,1032.1,1030.4,0,0,0,0,1.6,27,3.2,24140.0,1,3600.0,249.0,0.08,晴
2026-01-11T10:00,2026-01-11 18:00,2026,1,11,10,6.3,41,0.0,0.0,0.0,0,1033.1,1031.5,0,0,0,0,4.9,54,10.8,24140.0,1,3600.0,429.0,0.17,晴
2026-01-11T11:00,2026-01-11 19:00,2026,1,11,11,7.8,33,0.0,0.0,0.0,0,1032.6,1031.0,0,0,0,0,8.7,48,17.6,24140.0,1,3600.0,566.0,0.25,晴
2026-01-11T12:00,2026-01-11 20:00,2026,1,11,12,8.7,31,0.0,0.0,0.0,0,1031.5,1029.9,0,0,0,0,9.8,36,19.4,24140.0,1,3600.0,642.0,0.29,晴
2026-01-11T13:00,2026-01-11 21:00,2026,1,11,13,9.5,30,0.0,0.0,0.0,0,1030.7,1029.1,0,0,0,0,9.3,16,19.4,24140.0,1,3600.0,648.0,0.3,晴
2026-01-11T14:00,2026-01-11 22:00,2026,1,11,14,10.7,20,0.0,0.0,0.0,0,1029.4,1027.8,0,0,0,0,7.3,20,20.2,24140.0,1,3600.0,584.0,0.29,晴
2026-01-11T15:00,2026-01-11 23:00,2026,1,11,15,10.8,19,0.0,0.0,0.0,0,1028.9,1027.3,0,0,0,0,9.6,20,18.7,24140.0,1,3600.0,464.0,0.24,晴
2026-01-11T16:00,2026-01-12 00:00,2026,1,11,16,10.2,21,0.0,0.0,0.0,0,1029.0,1027.4,0,0,0,0,10.9,34,20.9,24140.0,1,3600.0,289.0,0.18,晴
2026-01-11T17:00,2026-01-12 01:00,2026,1,11,17,8.6,23,0.0,0.0,0.0,0,1029.4,1027.8,0,0,0,0,12.5,44,22.7,24140.0,1,3108.81,98.0,0.11,晴
2026-01-11T18:00,2026-01-12 02:00,2026,1,11,18,6.8,25,0.0,0.0,0.0,0,1030.1,1028.5,0,0,0,0,9.4,47,22.7,24140.0,0,0.0,1.0,0.08,晴
2026-01-11T19:00,2026-01-12 03:00,2026,1,11,19,5.5,27,0.0,0.0,0.0,0,1030.2,1028.6,0,0,0,0,6.2,54,17.3,24140.0,0,0.0,0.0,0.04,晴
2026-01-11T20:00,2026-01-12 04:00,2026,1,11,20,4.2,33,0.0,0.0,0.0,1,1030.3,1028.7,37,0,37,0,4.1,52,11.5,24140.0,0,0.0,0.0,0.02,基本晴
2026-01-11T21:00,2026-01-12 05:00,2026,1,11,21,3.8,37,0.0,0.0,0.0,3,1030.0,1028.3,85,0,85,0,2.5,45,7.2,24140.0,0,0.0,0.0,0.01,多云
2026-01-11T22:00,2026-01-12 06:00,2026,1,11,22,3.6,39,0.0,0.0,0.0,1,1029.6,1027.9,13,0,13,0,1.5,346,4.3,24140.0,0,0.0,0.0,0.0,基本晴
2026-01-11T23:00,2026-01-12 07:00,2026,1,11,23,3.2,37,0.0,0.0,0.0,0,1028.7,1027.0,0,0,0,0,1.5,315,2.9,24140.0,0,0.0,0.0,0.0,晴
2026-01-12T00:00,2026-01-12 08:00,2026,1,12,0,2.6,37,0.0,0.0,0.0,0,1027.5,1025.8,0,0,0,0,2.2,279,3.2,24140.0,0,0.0,0.0,0.0,晴
2026-01-12T01:00,2026-01-12 09:00,2026,1,12,1,1.4,39,0.0,0.0,0.0,0,1026.8,1025.1,0,0,0,0,3.4,252,5.4,24140.0,0,0.0,0.0,0.01,晴
2026-01-12T02:00,2026-01-12 10:00,2026,1,12,2,-0.8,51,0.0,0.0,0.0,0,1026.4,1024.7,0,0,0,0,4.4,235,7.9,24140.0,0,0.0,0.0,0.01,晴
